player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,cluster_label
Donte DiVincenzo,MIL,24.0,193.04,92.079176,Villanova,USA,2018,1,17,66,10.4,5.8,3.1,8.1,0.043,0.155,0.163,0.542,0.1369999999999999,2020-21,3
Doug McDermott,IND,29.0,200.66,102.0582,Creighton,USA,2014,1,11,66,13.6,3.3,1.3,-1.8,0.036,0.096,0.1939999999999999,0.635,0.075,2020-21,0
Draymond Green,GSW,31.0,198.12,104.32616,Michigan State,USA,2012,2,35,63,7.0,7.1,8.9,5.4,0.0279999999999999,0.184,0.128,0.53,0.345,2020-21,1
Drew Eubanks,SAS,24.0,205.74,111.13004,Oregon State,USA,Undrafted,Undrafted,Undrafted,54,5.8,4.5,0.8,-4.6,0.09,0.207,0.166,0.618,0.086,2020-21,2
Duncan Robinson,MIA,27.0,200.66,97.52228,Michigan,USA,Undrafted,Undrafted,Undrafted,72,13.1,3.5,1.8,2.3,0.003,0.109,0.162,0.628,0.0819999999999999,2020-21,0
Frank Jackson,DET,23.0,190.5,92.98636,Duke,USA,2017,2,31,40,9.8,2.2,0.9,-1.0,0.021,0.092,0.207,0.598,0.079,2020-21,0
Dwayne Bacon,ORL,25.0,198.12,100.243832,Florida State,USA,2017,2,40,72,10.9,3.1,1.3,-11.4,0.015,0.102,0.193,0.49,0.08,2020-21,0
Dwight Powell,DAL,29.0,208.28,108.86208,Stanford,Canada,2014,2,45,58,5.9,4.0,1.1,4.0,0.086,0.158,0.129,0.688,0.09,2020-21,2
Dylan Windler,CLE,24.0,198.12,88.904032,Belmont,USA,2019,1,26,31,5.2,3.5,1.1,-6.5,0.039,0.171,0.14,0.5670000000000001,0.089,2020-21,0
E'Twaun Moore,PHX,32.0,190.5,86.636072,Purdue,USA,2011,2,55,27,4.9,1.7,1.5,0.5,0.035,0.08,0.1639999999999999,0.523,0.14,2020-21,0
Ed Davis,MIN,32.0,205.74,98.883056,North Carolina,USA,2010,1,13,23,2.1,5.0,0.9,-7.6,0.127,0.235,0.078,0.487,0.1,2020-21,2
Edmond Sumner,IND,25.0,193.04,88.904032,Xavier,USA,2017,2,52,53,7.5,1.8,0.9,-0.4,0.02,0.083,0.176,0.626,0.075,2020-21,0
Elfrid Payton,NYK,27.0,190.5,88.45044,Louisana-Lafayette,USA,2014,1,10,63,10.1,3.4,3.2,-3.0,0.0409999999999999,0.098,0.2239999999999999,0.478,0.209,2020-21,3
